original_title,overview,popularity,release_date,title,vote_average,vote_count
Inspector Gadget,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",11.864,1999-07-23,Inspector Gadget,4.4,1063
Man of the House,Texas Ranger Roland Sharp is assigned to protect the only witnesses to the murder of a key figure in the prosecution of a drug kingpin -- a group of University of Texas cheerleaders. Sharp must now go undercover as an assistant cheerleading coach and move in with the young women.,19.164,2005-02-25,Man of the House,5.7,414
A Cinderella Story: Christmas Wish,"Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily  and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land.",19.176,2019-10-15,A Cinderella Story: Christmas Wish,6.4,634
The Haunting in Connecticut 2: Ghosts of Georgia,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.",16.167,2013-02-01,The Haunting in Connecticut 2: Ghosts of Georgia,5.9,454
Charlie St. Cloud,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",14.417,2010-07-30,Charlie St. Cloud,6.9,2030
Lake Placid 3,"A game warden moves his family to Lake Placid, once the site of deadly crocodile attacks. Locals assure him the crocs are gone, but his mischievous young son finds a few baby crocs and begins feeding them. They quickly grow into very big adults and start attacking the game warden's family and nearby town.",10.915,2010-08-21,Lake Placid 3,5.2,196
The Star,"A small but brave donkey and his animal friends become the unsung heroes of the greatest story ever told, the first Christmas.",16.17,2017-11-15,The Star,6.3,475
An Extremely Goofy Movie,"It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.",16.413,2000-02-29,An Extremely Goofy Movie,6.4,536
Book of Shadows: Blair Witch 2,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",16.162,2000-10-27,Book of Shadows: Blair Witch 2,4.2,700
超神伝説 うろつき童子,"Legend has it that the human race is not the only dominant civilization living on Earth. Two other races exist in this world: the Makai (a demon race) and the Jujinkai (a half-man, half-beast race). Once every 3,000 years, a supreme being known as the ""Choujin"" (Overfiend) will emerge and bring balance to all three realms on Earth. In present-day Japan, after 300 years of endless searching, a Jujinkai named Amano Jyaku has discovered the presence of the Choujin inside high school slacker Tatsuo Nagumo. But now, Amano, along with his sister Megumi and their sidekick Kuroko must protect Nagumo and his new girlfriend Akemi Ito from the Makai, who believe that Nagumo is not the Choujin, but an evil entity bent on destroying all living beings on Earth.",10.061,1989-03-18,Urotsukidōji: Legend of the Overfiend,6.1,80
In the Loop,"The US President and the UK Prime Minister are planning on launching a war in the Middle East, but—behind the scenes—government officials and advisers are either promoting the war or are trying to prevent it.",12.163,2009-01-22,In the Loop,7.1,562
Bulletproof Monk,"A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.",13.862,2003-03-28,Bulletproof Monk,5.5,803
Deseo,"Eight short stories of seduction and illicit encounters between lovers, filled with humor and eroticism, which use a circular structure located in the cosmopolitan atmosphere of a colonial city of Mexico.",16.915,2013-09-13,Deseo,6.7,234
Dear Evan Hansen,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",13.641,2021-09-24,Dear Evan Hansen,6.4,246
Vacancy,"A young married couple becomes stranded at an isolated motel and find hidden video cameras in their room. They realize that unless they escape, they'll be the next victims of a snuff film.",16.813,2007-04-20,Vacancy,6.2,1265
The Woman in Black 2: Angel of Death,"40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrive, awakening the house's darkest inhabitant.",15.666,2014-12-30,The Woman in Black 2: Angel of Death,5.3,946
笑拳怪招,"Lung is a talented fighter but prefers to spend his time loafing around and picking fights, despite orders from his grandfather not to fight. Unknown to him, a brutal general has been slaughtering all the people from his grandfather’s clan. When the general recognizes Lung’s style of kung fu during one of his street fights, he hunts down Lung’s grandfather and kills him.",12.66,1979-02-17,Fearless Hyena,6.6,131
Persona,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. The time they spend together only strengthens the crushing realization that one does not exist.",17.561,1966-10-18,Persona,8.2,1845
Studio 666,"Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.",20.16,2022-02-24,Studio 666,6.1,182
The Legion,"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.",13.926,2020-05-08,The Legion,6.1,102
Britannic,"It was the sister ship of the infamous Titanic... and its final destiny was the same. Experience the true untold story of Britannic, a tumultuous, epic voyage of human passion, courage and betrayal aboard an ill-fated ocean liner bound for a shattering demise. With the world at war, an undercover British agent (Amanda Ryan), embarks the Britannic in search of a German spy believed to be on board to sabotage the ship. Posing as a governess, the undercover agent finds herself falling in love with the ship's chaplain (Edward Atterton). In a stunning discovery, the lovers suddenly find themselves enemies of war. And when a massive explosion deals a deathblow to the ship, their battle becomes one for their own survival. With a dynamic, international cast and a story line that hosts a chilling tale of espionage, politics and romance, Britannic brings one of history's most devastating events to riveting, new life.",9.371,2000-01-10,Britannic,6.8,57
王立宇宙軍 オネアミスの翼,"On a future Earth, war between the Kingdom of Honneamise and its rival, The Republic, is inevitable. As evolving technology creates new ways to wage war, a small group seeks to propel mankind into space in their world’s first spaceflight program. For astronaut candidate Shirotsugh Lhadatt, it’s a personal odyssey as he grows from an aimless young man into a leader willing to put everything on the line in order to move the human race forward and away from the brink of Armageddon.",14.16,1987-03-14,Royal Space Force - The Wings Of Honneamise,6.9,103
